message_size,message_count,msg_per_s,mib_per_s
1,1000000,865873.58,0.82
2,1000000,909448.07,1.73
4,1000000,841604.90,3.21
8,1000000,874497.38,6.67
16,1000000,753072.15,11.49
32,1000000,809514.05,24.70
64,1000000,787368.71,48.05
128,1000000,809087.67,98.76
256,1000000,798712.47,194.99
512,1000000,629493.00,307.36
1024,1000000,738563.89,721.25
2048,1000000,655232.85,1279.75
4096,1000000,411540.75,1607.58
8192,1000000,234928.01,1835.37
16384,1000000,118261.04,1847.82
32768,1000000,64205.75,2006.42
65536,1000000,23519.36,1469.96
